,url,Notes,Nose,Palate,Finish,Country,Region,Distillery / Brand,Bottler,Age,Distillation Date,Style,Bottling Date,Alcohol,Volume
Arran 10 Year Old,https://www.masterofmalt.com/whiskies/arran/arran-10-year-old-whisky/,," Herbal, biscuity, hedgerow greenness and dried grass, like a long English summer's afternoon."," Sweet. Quite malty, digestive biscuits, followed by green fruits and Cox's apple peel."," Slightly bitter, maltiness.",Scotch Whisky,Island Whisky,Arran,Arran,10 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Peat's Beast 25 Year Old,https://www.masterofmalt.com/whiskies/fox-fitzgerald/peats-beast-25-year-old-whisky/,," Clove and smoked ham, with a touch of tarry ropes underneath."," heavily medicinal peat dominates the palate, with mature oak bringing complexity.", Green olive and old leather.,Scotch Whisky,Scotch Whisky,Fox Fitzgerald,Fox Fitzgerald,25 year old Whisky,,Single Malt Whisky,,52.2%,70cl
Glenfarclas 10 Year Old,https://www.masterofmalt.com/whiskies/glenfarclas-10-year-old-whisky/,," Lots of sherry, juicy. Honey, touch of toffee, creamy. Malty, barley."," Winter spice. Fruitcake, toffee, hint of smoke."," Long, spicy, fruity, oak.",Scotch Whisky,Speyside Whisky,Glenfarclas,Glenfarclas,10 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Auchentoshan 12 Year Old,https://www.masterofmalt.com/whiskies/auchentoshan-12-year-old-whisky/,," Cereals, exotic fruits."," Tannins, a little sweet barley, vanilla."," Dry and very long, a little sweetness from the barley.",Scotch Whisky,Lowland Whisky,Auchentoshan,Auchentoshan,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Ardbeg 10 Year Old,https://www.masterofmalt.com/whiskies/ardbeg/ardbeg-10-year-old-whisky/,, A ridge of vanilla leads to mountain of peat capped with citrus fruits and circled by clouds of sea spray., Sweet vanilla counterbalanced with lemon and lime followed by that surging Ardbeg smoke that we all know and love., Long and glorious; sea salted caramel and beach bonfire smoke.,Scotch Whisky,Islay Whisky,Ardbeg,Ardbeg,10 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Glengoyne 10 Year Old,https://www.masterofmalt.com/whiskies/glengoyne-10-year-old-whisky/,," Slightly herbal, big bourbon influence which has brought a wonderful ""high note"". White milk bottle sweets, more creamy than fruity."," Barley rich, more bourbon influence. Clean and dry."," Long, barley rich, touch of hoi sin.",Scotch Whisky,Highland Whisky,Glengoyne,Glengoyne,10 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Glenfiddich 15 Year Old Solera,https://www.masterofmalt.com/whiskies/glenfiddich/glenfiddich-15-year-old-solera-whisky/,," Sherry, citrus - orange in particular, dry wood. Slight suggestion of smoke?"," Medium, Sherry, raisins. Fruitcake, spices, sweetness."," Candied fruits, raisins, spices, Christmas pudding, oak takes over.",Scotch Whisky,Speyside Whisky,Glenfiddich,Glenfiddich,15 year old Whisky,,Single Malt Whisky,,40.0%,70cl
The Macallan 15 Year Old Triple Cask,https://www.masterofmalt.com/whiskies/the-macallan/the-macallan-15-year-old-triple-cask-whisky/,," Citrus blossom, hot chocolate, cardamom seed, treacle."," Quince, salted butter, poached pear, a hint of cigar box."," Lasting cinnamon and raisin, with a touch of lemon.",Scotch Whisky,Speyside Whisky,The Macallan,The Macallan,15 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Highland Park Fire Edition 15 Year Old,https://www.masterofmalt.com/whiskies/highland-park/highland-park-fire-edition-15-year-old/,," This doesn’t shout at you, instead the smoke is discreet backed up with some tasteful saline and red cherry notes."," All about elegance, some delicate wood smoke with fresh orange fruity notes and some caramel.", Long and gently smoky.,Scotch Whisky,Island Whisky,Highland Park,Highland Park,15 year old Whisky,,Single Malt Whisky,,45.2%,70cl
Glengoyne Cask Strength (Batch 7),https://www.masterofmalt.com/whiskies/glengoyne/glengoyne-cask-strength-whisky/,," Caramel and chocolate, with a hearty kick of spicy oak and cinnamon."," Plenty of dried fruit and walnut notes as it opens, followed by coffee bean, cedar and hints of floral barley."," It goes on and on, with notes of honey and clove lingering.",Scotch Whisky,Highland Whisky,Glengoyne,Glengoyne,,,Single Malt Whisky,,58.9%,70cl
The Glenlivet XXV (25 Year Old),https://www.masterofmalt.com/whiskies/the-glenlivet/the-glenlivet-xxv-25-year-old-whisky/,, Rich. There are notes of chewy sultanas and morello cherry; dried herbs and cooked fruits with apple crumble and a balanced acidity; crème de cacao., Thick and smooth. There are notes of Sherried peels and sultanas; chewy toffee and walnut; dried fruits emerge with a juicy touch., Long and rich with winter spice.,Scotch Whisky,Speyside Whisky,The Glenlivet,The Glenlivet,25 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Jura Destiny,https://www.masterofmalt.com/whiskies/isle-of-jura/jura-destiny-whisky/,," Earthy vanilla combines with layers of peat smoke, joined by a hint of milk chocolate."," Anise and clove, shortly followed by cinder toffee and toasted oak stave."," Plump raisin, smoked barley and a pinch of peppercorn.",Scotch Whisky,Island Whisky,Isle of Jura,Isle of Jura,,,Single Malt Whisky,,44.0%,70cl
Caol Ila 2006 (bottled 2017) Moscatel Cask Finish - Distillers Edition,https://www.masterofmalt.com/whiskies/caol-ila/caol-ila-2006-bottled-2017-moscatel-cask-finish-distillers-edition-whisky/,," Bread and butter pudding, cedar, sea shells and candied peels."," Earthy peat kicks things off, followed by oatcakes, mango chutney, maple syrup and dates."," Apricot, smoke, orange oil, menthol and sea salt.",Scotch Whisky,Islay Whisky,Caol Ila,Caol Ila,,2006,Single Malt Whisky,2017,43.0%,70cl
Highland Park Valknut,https://www.masterofmalt.com/whiskies/highland-park/highland-park-valknut-whisky/,," Warming peat smoke rises, paired with fresh vanilla, thyme honey and sandalwood."," Toasted barley and fennel seed, with a kick of cinnamon underneath."," Flamed orange peel, a very light touch of BBQ char, gingerbread and nutmeg.",Scotch Whisky,Island Whisky,Highland Park,Highland Park,,,Single Malt Whisky,,46.8%,70cl
Lagavulin 8 Year Old,https://www.masterofmalt.com/whiskies/lagavulin/lagavulin-8-year-old-whisky/,," Salted popcorn, honey-roasted nuts, tarry ropes and light hints of freshly-chopped cedar. A touch of burnt sugar sweetness lingers."," Smokey peat appears first on the palate, followed by coriander seed, barley sugar, cumin powder, smoked kipper and marzipan."," Layers of apple crumble, toasted almond and ash. Another kick of cooking spices right at the end.",Scotch Whisky,Islay Whisky,Lagavulin,Lagavulin,8 year old Whisky,,Single Malt Whisky,,48.0%,70cl
Laphroaig Quarter Cask,https://www.masterofmalt.com/whiskies/laphroaig-quarter-cask-whisky/,," Oily and buttery nose, with toffee, nuttiness, hickory, bicarbonate of soda, rum and raisin ice cream and zest."," Big rush of sweetness, in fact it’s an explosion of sweetness, with fiery chilli heat, TCP, sweet cereals and a touch of cola syrup."," Medium-length, but becomes fruity, with custard and cigar smoke.",Scotch Whisky,Islay Whisky,Laphroaig,Laphroaig,,,Single Malt Whisky,,48.0%,70cl
Glenfiddich 12 Year Old,https://www.masterofmalt.com/whiskies/glenfiddich-12-year-old-whisky/,," Grain. Slightly floral, mineralic. Spirity, orchard fruit, malty, honey. Citrus develops."," Light, floral, spices. Very smooth."," Sweet, touch of oak and general fruit, oily.",Scotch Whisky,Speyside Whisky,Glenfiddich,Glenfiddich,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Auchentoshan American Oak Gift Pack with 2x Cups,https://www.masterofmalt.com/whiskies/auchentoshan/auchentoshan-american-oak-gift-pack-with-2x-cups-whisky/,," Oranges and lemons, toffee chunks and milk chocolate. Wafts of grassy air and clotted cream."," Bounty bars, more citrus peels and peaches. A little bit buttery, with golden barley and oak spice developing on the mid palate.", Lasting notes of grapefruit and toffee pennies.,Scotch Whisky,Lowland Whisky,Auchentoshan,Auchentoshan,,,Single Malt Whisky,,40.0%,70cl
Deanston 18 Year Old,https://www.masterofmalt.com/whiskies/deanston/deanston-18-year-old-whisky/,," Enjoyable earthy vanilla up front, paired with Golden Grahams, honeydew melon and flint."," Lemon cheesecake and orange boiled sweets, shortly followed by stem ginger and beeswax.", Oily walnut and barley.,Scotch Whisky,Highland Whisky,Deanston,Deanston,18 year old Whisky,,Single Malt Whisky,,46.3%,70cl
BenRiach 12 Year Old - Sherry Wood,https://www.masterofmalt.com/whiskies/benriach/benriach-12-year-old-sherry-wood-whisky/,," Cooked apple drizzled in crème de cassis, brown sugar and zesty orange."," Fig, blackcurrant jam, apricot, slowly building Christmas spice and continued vanilla.", Soft ginger root spiciness.,Scotch Whisky,Speyside Whisky,BenRiach,BenRiach,12 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Islay Storm,https://www.masterofmalt.com/whiskies/islay-storm/,," Peat smoke, oily, briny, some malt."," Sweet rush initially, then onto medicinal peat and seaweed, some bourbon notes, spices, custard."," Smoke, long and spiced.",Scotch Whisky,Islay Whisky,Islay Storm,C.S. James and Sons Ltd.,,,Single Malt Whisky,,40.0%,70cl
Bowmore 15 Year Old,https://www.masterofmalt.com/whiskies/bowmore/bowmore-15-year-old-whisky/,," Dark and punchy. Sherry notes, juicy Corinth raisins. Spices. Creamy, mochaccino, sweet dates."," Rich, woody, pine oil. Syrupy. Lovely, creamy toffee and malt. Smoky."," Spicy, toffee, sherry, barley.",Scotch Whisky,Islay Whisky,Bowmore,Bowmore,15 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Bunnahabhain Toiteach a Dhà,https://www.masterofmalt.com/whiskies/bunnahabhain/bunnahabhain-toiteach-a-dha-whisky/,," Roasted peanuts, cinnamon and red chilli flakes, blackcurrant and Port."," Sea salt and kippers, dark chocolate, sultanas, a touch of cantaloupe. "," Barley, dry smoke and pepper.",Scotch Whisky,Islay Whisky,Bunnahabhain,Bunnahabhain,,,Single Malt Whisky,,46.3%,70cl
Arran Côte-Rôtie Cask Finish,https://www.masterofmalt.com/whiskies/arran/arran-cote-rotie-cask-finish-whisky/,," Oodles of oak spices, jammy dark berries and subtle floral violet aromas."," Bucketfuls of dark chocolate balanced by a dash of citrus, with lots of dried fruit alongside fresh fig and plum, with a hint of charred oak.", Delicate whispers of smoke support notes of candied fruit and a fairly spicy finish.,Scotch Whisky,Island Whisky,Arran,Arran,,,Single Malt Whisky,,50.0%,70cl
Balvenie 16 Year Old Triple Cask ,https://www.masterofmalt.com/whiskies/balvenie/balvenie-16-year-old-triple-cask-whisky/,,,,,,,,,,,,,,
Longmorn 16 Year Old,https://www.masterofmalt.com/whiskies/longmorn-16-year-old-whisky/,," Fresh and green. Notes of apple peel and bramley apple, hints of citrus and herbal notes. There are some notes of balsa wood, calvados and plenty of dry oaken tannins.", Rich and compact. Notes of lemon zest and a leafy greenness. A good level of tannins develops with a vinous character and spice. The oak is dry and full., Long and dry with a zesty quality.,Scotch Whisky,Speyside Whisky,Longmorn,Longmorn,16 year old Whisky,,Single Malt Whisky,,48.0%,70cl
Glen Moray 15 Year Old - Elgin Heritage,https://www.masterofmalt.com/whiskies/glen-moray/glen-moray-15-year-old-elgin-heritage-whisky/,, Sweet as it opens with white chocolate and caramel. A hint of charred oak smokiness develops.," Crumbly fudge with a few sea salt flakes, shortly joined by banana fritters and chocolate raisins.", Cinnamon and ground ginger.,Scotch Whisky,Speyside Whisky,Glen Moray,Glen Moray,15 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Mortlach 20 Year Old,https://www.masterofmalt.com/whiskies/mortlach/mortlach-20-year-old-whisky/,," Roast chestnuts and tobacco, swiftly joined by dense chocolate and red berry richness. Just a whisper of meaty malt underneath."," Clove and brandy butter arrive first, before chewy dates, orange peel, mature oak and Hobnob biscuits.", Lasting Christmas spice and a touch of cooked summer berries.,Scotch Whisky,Speyside Whisky,Mortlach,Mortlach,20 year old Whisky,,Single Malt Whisky,,43.4%,70cl
Old Pulteney 15 Year Old,https://www.masterofmalt.com/whiskies/pulteney/old-pulteney-15-year-old/,," Toffee, coffee and sultanas. Balanced sweetness of toffee and sea spray salinity."," Salted caramel cookies, green apple sharpness, sea salt and straw.", Chocolate with red chilli. A hint of spiced rum warmth.,Scotch Whisky,Highland Whisky,Pulteney,Pulteney,15 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Glen Garioch 12 Year Old,https://www.masterofmalt.com/whiskies/glen-garioch/glen-garioch-12-year-old-whisky/,,,,,,,,,,,,,,
Glen Grant 18 Year Old Rare Edition,https://www.masterofmalt.com/whiskies/glen-grant/glen-grant-18-year-old-rare-edition-whisky/,," Rich and floral with oaky overtones and hints of baking spices.
"," Malty Caramel, delicate, dried raisins and vanilla."," Long, sweet with hints of nuts and spice.",Scotch Whisky,Speyside Whisky,Glen Grant,Glen Grant,18 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Glenmorangie Grand Vintage Malt 1989 (bottled 2017) - Bond House No.1 Collection,https://www.masterofmalt.com/whiskies/glenmorangie/glenmorangie-grand-vintage-malt-1989-bottled-2017-bond-house-no1-collection-whisky/,," Astonishingly complex, with toasted marshmallows, almonds and a perfumed top note emerging alongside vanilla and fudge. Baked apples burst forth with red fruits, blackcurrants and tropical fruits, followed by freshly baked bread, beeswax and a hint of wood smoke."," Syrupy textures and a peppery sensation on the palate, lead to the richness of baked apples, buttery fudge and gentle citrus notes."," Orange blossom entwines with honey, eucalyptus oil, aniseed and leather in a long and powerful finish, ending with classic wood spices and oak shavings.",Scotch Whisky,Highland Whisky,Glenmorangie,Glenmorangie,,1989,Single Malt Whisky,2017,43.0%,70cl
Glen Grant 10 Year Old ,https://www.masterofmalt.com/whiskies/glen-grant-10-year-old-whisky/,," Medium. Vanilla, toffee apple. Herbal, hint of smoke."," Firm. Sweetness, fruity, vanilla. Gentle peat, malty."," Dry, supple peat, toffee.",Scotch Whisky,Speyside Whisky,Glen Grant,Glen Grant,10 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Jura 12 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/jura/jura-12-year-old-that-boutiquey-whisky-company-whisky/,," Light hints of treacle and salted butter emerge through nutty barley, sugary biscuit dough and cut grass. A little coastal air and soft, oily smoke is present underneath."," Waxy orange peel, dark chocolate and sweet gingerbread combine among butterscotch and white fruit. Milky coffee adds a little pleasant bitterness later on with dry oak and a herbaceous element."," Madeira cake, a touch of lime zest and brown sugar linger.",Scotch Whisky,Island Whisky,Isle of Jura,That Boutique-y Whisky Company,12 year old Whisky,,Single Malt Whisky,,47.6%,50cl
Glenglassaugh Octaves Classic Batch 2,https://www.masterofmalt.com/whiskies/glenglassaugh/glenglassaugh-octaves-classic-whisky/,," Earthy vanilla arrives first, but soon enough you'll find notes of dried cranberries and thick treacle."," Chocolate, salted caramel and hints of red chilli flakes. A backbone of barley helps it along.", Damson jam and toasted teacakes (with butter).,Scotch Whisky,Highland Whisky,Glenglassaugh,Glenglassaugh,,,Single Malt Whisky,,44.0%,70cl
Bunnahabhain 27 Year Old 1989 (cask 7719) - Revival (The Higginbottom),https://www.masterofmalt.com/whiskies/bunnahabhain/bunnahabhain-27-year-old-1989-cask-7719-revival-the-higginbottom-whisky/,," Honeydew melon, salted crackers, dry cedar and lemon juice."," Layers of vanilla, tangy orange and honey. A hint of sea salt and new leather."," Peppery, with touches of cinnamon and brioche.",Scotch Whisky,Islay Whisky,Bunnahabhain,HAH Whisky,27 year old Whisky,22 Dec 1989,Single Malt Whisky,05 Oct 2017,41.0%,50cl
Benromach 15 Year Old,https://www.masterofmalt.com/whiskies/benromach/benromach-15-year-old-whisky/,,,,,,,,,,,,,,
Tamdhu Batch Strength (Batch 4),https://www.masterofmalt.com/whiskies/tamdhu/tamdhu-batch-strength-whisky/,," Delicate oak spice, Black Forest gateau and oily walnut, then thick layers of maple syrup, orange marmalade and ripe barley. There’s a little marzipan in the backdrop."," Think Pavlova with summer berries, a sprinkle of brown sugar, freshly baked biscuits and flickers of baking spices."," Dried fruit, lemon zest and dark chocolate. This one certainly isn't in a hurry.",Scotch Whisky,Speyside Whisky,Tamdhu,Tamdhu,,,Single Malt Whisky,,57.8%,70cl
The Macallan Quest,https://www.masterofmalt.com/whiskies/the-macallan/the-macallan-quest-whisky/,," Gentle lemon notes arrive first, with milk chocolate and butterscotch leaping out afterwards."," Slightly spicier than the nose, with warming oak and cinnamon developing underneath caramel notes.", Touches of raisin and vanilla pod.,Scotch Whisky,Speyside Whisky,The Macallan,The Macallan,,,Single Malt Whisky,,40.0%,70cl
Cardhu Gold Reserve,https://www.masterofmalt.com/whiskies/cardhu/cardhu-gold-reserve-whisky/,," Honeyed tinned stone fruits, toffees and a hint of strawberry with red apple and ginger coming through with a little water.", Fairly dry with biscuity oak and a little cinnamon as well as some development of those toffee and apple notes., Gentle oak and (milk chocolate) caramel digestives.,Scotch Whisky,Speyside Whisky,Cardhu,Cardhu,,,Single Malt Whisky,,40.0%,70cl
Auchentoshan Three Wood,https://www.masterofmalt.com/whiskies/auchentoshan-3-wood-whisky/,," Cooked fruit, sherry, toffee, a rum-like quality and notes of Bas Armagnac distilled circa 1940."," Rich. Liqueur cherries in dark chocolate, more sherried fruit, ripe dark forest fruits, like a Black Forest Gateaux."," Superb, led by thick dark treacle and toffee notes and chewy wooded notes, balanced with a green fruit edge.",Scotch Whisky,Lowland Whisky,Auchentoshan,Auchentoshan,,,Single Malt Whisky,,43.0%,70cl
Benrinnes 15 Year Old - Flora and Fauna,https://www.masterofmalt.com/whiskies/benrinnes-15-year-old-whisky/,, Slightly doughy. Toffee chip biscuits. Floral.," Rounded, good sweetness. A whiff of peat."," Barley, biscuity, slightly drying.",Scotch Whisky,Speyside Whisky,Benrinnes,Benrinnes,15 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Aberlour A'Bunadh Batch 62,https://www.masterofmalt.com/whiskies/aberlour/aberlour-abunadh-batch-62-whisky/,," Clove, white pepper, chocolate raisin and malt loaf."," More malt loaf, though now paired with stewed plum and raw cinnamon.", Christmas spices and a touch of tobacco.,Scotch Whisky,Speyside Whisky,Aberlour,Aberlour,,,Single Malt Whisky,,59.9%,70cl
Glenmorangie Lasanta 12 Year Old,https://www.masterofmalt.com/whiskies/glenmorangie/glenmorangie-lasanta-12-year-old-whisky/,,,,,,,,,,,,,,
Bowmore 25 Year Old,https://www.masterofmalt.com/whiskies/bowmore/bowmore-25-year-old-whisky/,, Dark fruits and coastal smokiness. Slightly herbal.," Characteristic  peat smoke, cocoa and dry, creamy nuttiness."," Gentle smoke, oak, mocha, hints of prunes.",Scotch Whisky,Islay Whisky,Bowmore,Bowmore,25 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Bladnoch 10 Year Old,https://www.masterofmalt.com/whiskies/bladnoch/bladnoch-10-year-old-bourbon-cask-whisky/,," Toasted barley, honey, a hint of fennel."," Waxy orange and chocolate chip cookie, with hints of clove and pepper underneath.", Ginger snaps and cinnamon rolls.,Scotch Whisky,Lowland Whisky,Bladnoch,Bladnoch,10 year old Whisky,,Single Malt Whisky,,46.7%,70cl
The Glenrothes 18 Year Old - Soleo Collection,https://www.masterofmalt.com/whiskies/glenrothes/glenrothes-18-year-old-soleo-collection-whisky/,"Sweet vanilla, pear and fresh ginger.",,,,Scotch Whisky,Speyside Whisky,Glenrothes,Glenrothes,18 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Bowmore 12 Year Old,https://www.masterofmalt.com/whiskies/bowmore-12-year-old-whisky/,," Coastal smoke and ash soon make way for bergamot, orange zest, lemon slices and some hay before becoming rather floral, heather smoke now competing with the ash."," Lovely and rounded, honeyed even, initially. Vanilla, perfumed smoke and coastal elements develop. Dark Peat. Blossom, oily sweetness."," Smoky and long. Sea spray, dry grass, a touch of ash and citrus.",Scotch Whisky,Islay Whisky,Bowmore,Bowmore,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
BenRiach Birnie Moss Intensely Peated,https://www.masterofmalt.com/whiskies/benriach/benriach-birnie-moss-intensely-peated-whisky/,,,,,,,,,,,,,,
The Glenrothes Select Reserve,https://www.masterofmalt.com/whiskies/glenrothes/the-glenrothes-select-reserve-40-whisky/,," Orange peel, stem ginger, hot jam and barley malt. Simple and inviting."," Malty and sweet palate with gingerbread, manuka honey, custard and potpourri."," A long, spiced finish with lattes and chocolate.",Scotch Whisky,Speyside Whisky,Glenrothes,Glenrothes,,,Single Malt Whisky,,40.0%,70cl
Glenglassaugh Revival,https://www.masterofmalt.com/whiskies/glenglassaugh-revival-single-malt-whisky/,," Sweet caramel and toffee with notes of nutty Sherry, milk chocolate and honey. Ripe plums, red berries and oranges. Caramelised sugar and earthy, charred oak."," Sweet, rounded and creamy. Oranges, plums, cherry and walnuts, chocolate, honey-mead, Sherry and soft, spiced oak."," Medium with warming mulled-wine spices, Sherry and caramel.",Scotch Whisky,Highland Whisky,Glenglassaugh,Glenglassaugh,,,Single Malt Whisky,,46.0%,70cl
Dalmore Port Wood Reserve,https://www.masterofmalt.com/whiskies/dalmore/dalmore-port-wood-reserve-whisky/,," Clove-studded orange, rich raspberry and prune, a touch of sponge cake."," Chocolatey at first, before waves of dried fruit and stem ginger notes appear. A touch of earthy bitterness develops later on, balanced by runny honey."," Roast chestnuts, gingerbread and tobacco.",Scotch Whisky,Highland Whisky,Dalmore,Dalmore,,,Single Malt Whisky,,46.5%,70cl
Tomintoul 10 Year Old,https://www.masterofmalt.com/whiskies/tomintoul-10-year-old-whisky/,," Medium-body and well-balanced. There are notes of vanilla fudge and barley. Tones of malt extract and espresso, hints of mochaccino and oak."," Pleasingly viscous, with notes of barley sugar, toasty cereals, acacia honey and malt extract. Honeycomb, toffee and a touch of vanilla fudge."," Quite short, yet charming.",Scotch Whisky,Speyside Whisky,Tomintoul,Tomintoul,10 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Highland Park Voyage Of The Raven,https://www.masterofmalt.com/whiskies/highland-park/highland-park-voyage-of-the-raven-whisky/,," Chocolate mousse and black cherry, with a subtle wisp of floral smoke."," Peat is still in the background, but this expression is very much a showcase of Sherried Highland Park malt.", Drying Christmas-y spices last on the finish.,Scotch Whisky,Island Whisky,Highland Park,Highland Park,,,Single Malt Whisky,,41.3%,70cl
Craigellachie 13 Year Old,https://www.masterofmalt.com/whiskies/craigellachie/craigellachie-13-year-old-whisky/,," Apple orchards in bloom, slightly meaty, burnt popcorn, treacle tart."," Oily malt arrives first, followed by BBQ pineapple and summer berries. Pine nuts and almonds.", A very soft hint of sulphur hides behind biscuit and apple notes.,Scotch Whisky,Speyside Whisky,Craigellachie,Craigellachie,13 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Glenfarclas 12 Year Old,https://www.masterofmalt.com/whiskies/glenfarclas-12-year-old-whisky/,," Light and creamy with a mix of supple, soft sherry and Manuka honey. Gentle and well-balanced, there are hints of smoke, rich oak, and a little pine resin."," Medium-bodied, with notes of date and walnut cake, Oloroso sherry and hints of earthy forest floor. A beautiful note of malt, with toffee apple and a touch of smoke."," Spicy and long, notes of allspice, cinnamon and cloves, with orange zest and sherry.",Scotch Whisky,Speyside Whisky,Glenfarclas,Glenfarclas,12 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Bunnahabhain Stiùireadair,https://www.masterofmalt.com/whiskies/bunnahabhain/bunnahabhain-stiuireadair-whisky/,," Brine, toasted sugar and caramel-drizzled raisins."," Honey-roasted nuts, cinnamon and clove, with a touch of salt sea too.", Sherried peels and chilli-chocolate.,Scotch Whisky,Islay Whisky,Bunnahabhain,Bunnahabhain,,,Single Malt Whisky,,46.3%,70cl
Glenrothes 21 Year Old 1997 (cask 6369)  - Ibisco Decanter (Signatory),https://www.masterofmalt.com/whiskies/glenrothes/glenrothes-21-year-old-1997-cask-6369-ibisco-decanter-whisky/,," Upside down apple cake with lots of honey and cinnamon, while toasted oak develops alongside orange oil."," Decadent chocolate brownie, spun sugar and more honey sweetness, balanced by tart berry compote and a nutty oiliness, with a savoury earthy undertone."," Cedar wood, light butterscotch and jammy berries with a dusting of baking spices.",Scotch Whisky,Speyside Whisky,Glenrothes,Signatory,21 year old Whisky,11 Apr 1997,Single Malt Whisky,22 Mar 2019,43.0%,70cl
Bowmore No.1 ,https://www.masterofmalt.com/whiskies/bowmore/bowmore-no-1-whisky/,," Nutella on brown bread, sea salt and a hint of lemon zest.", Vanilla notes are up front and sweet (though earthy vanilla pod does appear after a minute). Plenty of coastal peat smoke., Lingering smokiness.,Scotch Whisky,Islay Whisky,Bowmore,Bowmore,,,Single Malt Whisky,,40.0%,70cl
Auchentoshan 21 Year Old,https://www.masterofmalt.com/whiskies/auchentoshan-21-year-old-whisky/,," Soft and supple. Dry grass. Fruity notes, a citrus edge and very floral honey."," Oily, nuttiness. Dry and rounded with sugared peels.", Apricot conserve on granary toast with dry citrus notes.,Scotch Whisky,Lowland Whisky,Auchentoshan,Auchentoshan,21 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Macallan 30 Year Old 1988 - Single Cask (Master of Malt),https://www.masterofmalt.com/whiskies/macallan/macallan-30-year-old-1988-single-cask-master-of-malt-whisky/,," Salted caramel brownies, honey-drenched brioche, chocolate ice cream, floral barley and citrus blossom, marmalade, a hint of tobacco leaf."," Mature oak and new leather, nutmeg, apricot pastries, ginger snaps, golden syrup, chewy dates."," Oily walnut, marzipan, runny honey, red apple, continued oak influence bringing warmth to the long finish.",Scotch Whisky,Speyside Whisky,The Macallan,Master of Malt,30 year old Whisky,17 Oct 1988,Single Malt Whisky,22 Nov 2018,52.0%,70cl
Cragganmore 12 Year Old,https://www.masterofmalt.com/whiskies/cragganmore-12-year-old-whisky/,," Aromatic, floral. Heather, fruit salad, creamy texture. Smoked almonds, stemmy hay."," Rich, honey, stone fruits, chestnuts, walnuts, almonds. Berries."," Smoky, good length, delicate peppery spice.",Scotch Whisky,Speyside Whisky,Cragganmore,Cragganmore,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Laphroaig PX Cask Triple Matured,https://www.masterofmalt.com/whiskies/laphroaig/laphroaig-px-cask-triple-matured-whisky/,,,,,,,,,,,,,,
Ben Nevis 9 Year Old 2010 (cask 129) - Un-Chillfiltered Collection (Signatory),https://www.masterofmalt.com/whiskies/ben-nevis/ben-nevis-9-year-old-2010-cask-129-un-chillfiltered-collection-signatory-whisky/,," Bakewell tart, cinnamon buns and clove-studded orange."," More jammy cherries, dried fruit sweetness and fresh ginger spice.", Honeyed almonds and vanilla sponge cake with a spiciness developing on the finish.,Scotch Whisky,Highland Whisky,Ben Nevis,Signatory,9 year old Whisky,05 Feb 2010,Single Malt Whisky,28 Feb 2019,46.0%,70cl
The Macallan Terra,https://www.masterofmalt.com/whiskies/the-macallan/the-macallan-terra-whisky/,," Fresh orange, brioche, coffee, sultana and walnut loaf."," Melted chocolate, dried apricot, toffee pennies and a touch of strawberry jam.", Baking spices and dried oak notes take shape on the finish.,Scotch Whisky,Speyside Whisky,The Macallan,The Macallan,,,Single Malt Whisky,,43.8%,70cl
Benromach 10 Year Old,https://www.masterofmalt.com/whiskies/benromach-10-year-old-whisky/,," Dry, barley, big on malt and oak. Dry pine, fruity. A tad spirity. Sweet spices after a time and a hint of puckering prune from the sherry cask and maple fudge."," Barley, slightly herbal, a little fruit, grassy. Big on malt, ground ginger."," Mouthwateringly bittersweet. Ginger, dry sherry, almost hoppy after a while.",Scotch Whisky,Speyside Whisky,Benromach,Benromach,10 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Aberlour Triple Cask,https://www.masterofmalt.com/whiskies/aberlour/aberlour-triple-cask-whisky/,," Custard Cream biscuits, milky coffee and strawberries.", Now it's Jammy Dodgers a tea rather than Custard Creams and coffee! Underlying black pepper heat and a touch of honey., Dried fruit and peanut butter notes.,Scotch Whisky,Speyside Whisky,Aberlour,Aberlour,,,Single Malt Whisky,,40.0%,70cl
